data,Feedback,population,question,subject
F,fb,2,Gender,172
21,fb,2,Age,172
HL,fb,2,Ethnicity,172
W,fb,2,Race,172
demos:Demographics:;,fb,2,TypeResp,173
F,fb,2,Gender,173
21,fb,2,Age,173
NHL,fb,2,Ethnicity,173
A,fb,2,Race,173
demos:Demographics:;,fb,2,TypeResp,174
F,fb,2,Gender,174
19,fb,2,Age,174
NHL,fb,2,Ethnicity,174
W,fb,2,Race,174
demos:Demographics:;,fb,2,TypeResp,175
F,fb,2,Gender,175
19,fb,2,Age,175
HL,fb,2,Ethnicity,175
W,fb,2,Race,175
demos:Demographics:;,fb,2,TypeResp,176
F,fb,2,Gender,176
18,fb,2,Age,176
NHL,fb,2,Ethnicity,176
A,fb,2,Race,176
demos:Demographics:;,fb,2,TypeResp,177
F,fb,2,Gender,177
18,fb,2,Age,177
HL,fb,2,Ethnicity,177
W,fb,2,Race,177
demos:Demographics:;,fb,2,TypeResp,178
F,fb,2,Gender,178
19,fb,2,Age,178
NHL,fb,2,Ethnicity,178
A,fb,2,Race,178
demos:Demographics:;,fb,2,TypeResp,179
F,fb,2,Gender,179
19,fb,2,Age,179
NHL,fb,2,Ethnicity,179
A,fb,2,Race,179
demos:Demographics:;,fb,2,TypeResp,180
F,fb,2,Gender,180
19,fb,2,Age,180
NHL,fb,2,Ethnicity,180
W,fb,2,Race,180
demos:Demographics:;,fb,2,TypeResp,181
F,fb,2,Gender,181
18,fb,2,Age,181
NHL,fb,2,Ethnicity,181
A,fb,2,Race,181
demos:Demographics:;,fb,2,TypeResp,182
F,fb,2,Gender,182
19,fb,2,Age,182
NHL,fb,2,Ethnicity,182
W,fb,2,Race,182
demos:Demographics:;,fb,2,TypeResp,183
F,fb,2,Gender,183
18,fb,2,Age,183
NHL,fb,2,Ethnicity,183
W,fb,2,Race,183
demos:Demographics:;,fb,2,TypeResp,184
F,fb,2,Gender,184
18,fb,2,Age,184
NHL,fb,2,Ethnicity,184
W,fb,2,Race,184
demos:Demographics:;,fb,2,TypeResp,185
M,fb,2,Gender,185
18,fb,2,Age,185
NHL,fb,2,Ethnicity,185
A,fb,2,Race,185
demos:Demographics:;,fb,2,TypeResp,186
F,fb,2,Gender,186
19,fb,2,Age,186
HL,fb,2,Ethnicity,186
W,fb,2,Race,186
demos:Demographics:;,fb,2,TypeResp,187
F,fb,2,Gender,187
21,fb,2,Age,187
NHL,fb,2,Ethnicity,187
W,fb,2,Race,187
demos:Demographics:;,fb,2,TypeResp,188
F,fb,2,Gender,188
19,fb,2,Age,188
NHL,fb,2,Ethnicity,188
W,fb,2,Race,188
demos:Demographics:;,fb,2,TypeResp,189
M,fb,2,Gender,189
20,fb,2,Age,189
HL,fb,2,Ethnicity,189
AA,fb,2,Race,189
demos:Demographics:;,fb,2,TypeResp,190
F,fb,2,Gender,190
19,fb,2,Age,190
NHL,fb,2,Ethnicity,190
M,fb,2,Race,190
demos:Demographics:;,fb,2,TypeResp,191
F,fb,2,Gender,191
18,fb,2,Age,191
NHL,fb,2,Ethnicity,191
W,fb,2,Race,191
demos:Demographics:;,fb,2,TypeResp,192
F,fb,2,Gender,192
20,fb,2,Age,192
NHL,fb,2,Ethnicity,192
W,fb,2,Race,192
demos:Demographics:;,fb,2,TypeResp,193
F,fb,2,Gender,193
21,fb,2,Age,193
HL,fb,2,Ethnicity,193
M,fb,2,Race,193
demos:Demographics:;,fb,2,TypeResp,194
M,fb,2,Gender,194
20,fb,2,Age,194
NHL,fb,2,Ethnicity,194
W,fb,2,Race,194
demos:Demographics:;,fb,2,TypeResp,195
M,fb,2,Gender,195
19,fb,2,Age,195
NHL,fb,2,Ethnicity,195
A,fb,2,Race,195
demos:Demographics:;,fb,2,TypeResp,196
F,fb,2,Gender,196
19,fb,2,Age,196
NHL,fb,2,Ethnicity,196
AA,fb,2,Race,196
demos:Demographics:;,fb,2,TypeResp,197
M,fb,2,Gender,197
20,fb,2,Age,197
NHL,fb,2,Ethnicity,197
A,fb,2,Race,197
demos:Demographics:;,fb,2,TypeResp,198
F,fb,2,Gender,198
19,fb,2,Age,198
NHL,fb,2,Ethnicity,198
M,fb,2,Race,198
demos:Demographics:;,fb,2,TypeResp,199
F,fb,2,Gender,199
20,fb,2,Age,199
NHL,fb,2,Ethnicity,199
A,fb,2,Race,199
demos:Demographics:;,fb,2,TypeResp,200
M,fb,2,Gender,200
19,fb,2,Age,200
NHL,fb,2,Ethnicity,200
A,fb,2,Race,200
demos:Demographics:;,fb,2,TypeResp,201
M,fb,2,Gender,201
19,fb,2,Age,201
NHL,fb,2,Ethnicity,201
W,fb,2,Race,201
demos:Demographics:;,fb,2,TypeResp,202
F,fb,2,Gender,202
19,fb,2,Age,202
NHL,fb,2,Ethnicity,202
A,fb,2,Race,202
demos:Demographics:;,nofb,1,TypeResp,301
W,nofb,1,Gender,301
Cis,nofb,1,Sex,301
Bin,nofb,1,GenderIdentity,301
38,nofb,1,Age,301
NHL,nofb,1,Ethnicity,301
AA,nofb,1,Race,301
demos:Demographics:;,nofb,1,TypeResp,302
M,nofb,1,Gender,302
Cis,nofb,1,Sex,302
Bin,nofb,1,GenderIdentity,302
38,nofb,1,Age,302
NHL,nofb,1,Ethnicity,302
W,nofb,1,Race,302
demos:Demographics:;,nofb,1,TypeResp,303
M,nofb,1,Gender,303
Cis,nofb,1,Sex,303
NBin,nofb,1,GenderIdentity,303
31,nofb,1,Age,303
NHL,nofb,1,Ethnicity,303
W,nofb,1,Race,303
demos:Demographics:;,nofb,1,TypeResp,304
M,nofb,1,Gender,304
NB,nofb,1,Sex,304
Bin,nofb,1,GenderIdentity,304
33,nofb,1,Age,304
NHL,nofb,1,Ethnicity,304
AA,nofb,1,Race,304
demos:Demographics:;,nofb,1,TypeResp,305
W,nofb,1,Gender,305
NB,nofb,1,Sex,305
Bin,nofb,1,GenderIdentity,305
60,nofb,1,Age,305
HL,nofb,1,Ethnicity,305
W,nofb,1,Race,305
demos:Demographics:;,nofb,1,TypeResp,306
W,nofb,1,Gender,306
Cis,nofb,1,Sex,306
Bin,nofb,1,GenderIdentity,306
22,nofb,1,Age,306
NHL,nofb,1,Ethnicity,306
W,nofb,1,Race,306
demos:Demographics:;,nofb,1,TypeResp,307
M,nofb,1,Gender,307
Cis,nofb,1,Sex,307
Bin,nofb,1,GenderIdentity,307
26,nofb,1,Age,307
HL,nofb,1,Ethnicity,307
L,nofb,1,Race,307
demos:Demographics:;,nofb,1,TypeResp,308
M,nofb,1,Gender,308
Cis,nofb,1,Sex,308
Bin,nofb,1,GenderIdentity,308
27,nofb,1,Age,308
NHL,nofb,1,Ethnicity,308
W,nofb,1,Race,308
demos:Demographics:;,nofb,1,TypeResp,309
M,nofb,1,Gender,309
Cis,nofb,1,Sex,309
Bin,nofb,1,GenderIdentity,309
32,nofb,1,Age,309
NHL,nofb,1,Ethnicity,309
W,nofb,1,Race,309
demos:Demographics:;,nofb,1,TypeResp,310
W,nofb,1,Gender,310
NB,nofb,1,Sex,310
NA,nofb,1,GenderIdentity,310
25,nofb,1,Age,310
NHL,nofb,1,Ethnicity,310
AA,nofb,1,Race,310
demos:Demographics:;,nofb,1,TypeResp,311
W,nofb,1,Gender,311
NB,nofb,1,Sex,311
Bin,nofb,1,GenderIdentity,311
39,nofb,1,Age,311
NHL,nofb,1,Ethnicity,311
W,nofb,1,Race,311
demos:Demographics:;,nofb,1,TypeResp,312
M,nofb,1,Gender,312
NA,nofb,1,Sex,312
NA,nofb,1,GenderIdentity,312
36,nofb,1,Age,312
NHL,nofb,1,Ethnicity,312
W,nofb,1,Race,312
demos:Demographics:;,nofb,1,TypeResp,313
W,nofb,1,Gender,313
NB,nofb,1,Sex,313
Bin,nofb,1,GenderIdentity,313
36,nofb,1,Age,313
NHL,nofb,1,Ethnicity,313
W,nofb,1,Race,313
demos:Demographics:;,nofb,1,TypeResp,314
M,nofb,1,Gender,314
Cis,nofb,1,Sex,314
Bin,nofb,1,GenderIdentity,314
38,nofb,1,Age,314
NHL,nofb,1,Ethnicity,314
W,nofb,1,Race,314
demos:Demographics:;,nofb,1,TypeResp,315
W,nofb,1,Gender,315
Cis,nofb,1,Sex,315
Bin,nofb,1,GenderIdentity,315
45,nofb,1,Age,315
NHL,nofb,1,Ethnicity,315
AA,nofb,1,Race,315
demos:Demographics:;,nofb,1,TypeResp,316
W,nofb,1,Gender,316
NB,nofb,1,Sex,316
Bin,nofb,1,GenderIdentity,316
42,nofb,1,Age,316
NHL,nofb,1,Ethnicity,316
W,nofb,1,Race,316
demos:Demographics:;,nofb,1,TypeResp,317
M,nofb,1,Gender,317
NA,nofb,1,Sex,317
NA,nofb,1,GenderIdentity,317
32,nofb,1,Age,317
NHL,nofb,1,Ethnicity,317
AA,nofb,1,Race,317
demos:Demographics:;,nofb,1,TypeResp,318
M,nofb,1,Gender,318
NA,nofb,1,Sex,318
Bin,nofb,1,GenderIdentity,318
28,nofb,1,Age,318
NHL,nofb,1,Ethnicity,318
W,nofb,1,Race,318
demos:Demographics:;,nofb,1,TypeResp,319
W,nofb,1,Gender,319
Cis,nofb,1,Sex,319
Bin,nofb,1,GenderIdentity,319
59,nofb,1,Age,319
NHL,nofb,1,Ethnicity,319
A,nofb,1,Race,319
demos:Demographics:;,nofb,1,TypeResp,320
W,nofb,1,Gender,320
Cis,nofb,1,Sex,320
Bin,nofb,1,GenderIdentity,320
42,nofb,1,Age,320
NHL,nofb,1,Ethnicity,320
W,nofb,1,Race,320
demos:Demographics:;,nofb,1,TypeResp,321
M,nofb,1,Gender,321
Cis,nofb,1,Sex,321
NBin,nofb,1,GenderIdentity,321
38,nofb,1,Age,321
NHL,nofb,1,Ethnicity,321
W,nofb,1,Race,321
demos:Demographics:;,nofb,1,TypeResp,322
M,nofb,1,Gender,322
Cis,nofb,1,Sex,322
NA,nofb,1,GenderIdentity,322
30,nofb,1,Age,322
NHL,nofb,1,Ethnicity,322
W,nofb,1,Race,322
demos:Demographics:;,nofb,1,TypeResp,323
W,nofb,1,Gender,323
Cis,nofb,1,Sex,323
NA,nofb,1,GenderIdentity,323
29,nofb,1,Age,323
NHL,nofb,1,Ethnicity,323
W,nofb,1,Race,323
demos:Demographics:;,nofb,1,TypeResp,324
M,nofb,1,Gender,324
Cis,nofb,1,Sex,324
NA,nofb,1,GenderIdentity,324
28,nofb,1,Age,324
NHL,nofb,1,Ethnicity,324
W,nofb,1,Race,324
demos:Demographics:;,nofb,1,TypeResp,325
W,nofb,1,Gender,325
NA,nofb,1,Sex,325
NBin,nofb,1,GenderIdentity,325
33,nofb,1,Age,325
NHL,nofb,1,Ethnicity,325
W,nofb,1,Race,325
demos:Demographics:;,nofb,1,TypeResp,326
M,nofb,1,Gender,326
Cis,nofb,1,Sex,326
Bin,nofb,1,GenderIdentity,326
53,nofb,1,Age,326
HL,nofb,1,Ethnicity,326
W,nofb,1,Race,326
demos:Demographics:;,nofb,1,TypeResp,327
W,nofb,1,Gender,327
Cis,nofb,1,Sex,327
NA,nofb,1,GenderIdentity,327
32,nofb,1,Age,327
HL,nofb,1,Ethnicity,327
M,nofb,1,Race,327
demos:Demographics:;,nofb,1,TypeResp,328
W,nofb,1,Gender,328
NB,nofb,1,Sex,328
Bin,nofb,1,GenderIdentity,328
50,nofb,1,Age,328
NHL,nofb,1,Ethnicity,328
W,nofb,1,Race,328
demos:Demographics:;,nofb,1,TypeResp,329
W,nofb,1,Gender,329
Cis,nofb,1,Sex,329
Bin,nofb,1,GenderIdentity,329
46,nofb,1,Age,329
NHL,nofb,1,Ethnicity,329
W,nofb,1,Race,329
demos:Demographics:;,nofb,1,TypeResp,330
W,nofb,1,Gender,330
Cis,nofb,1,Sex,330
NBin,nofb,1,GenderIdentity,330
32,nofb,1,Age,330
NHL,nofb,1,Ethnicity,330
W,nofb,1,Race,330
demos:Demographics:;,nofb,1,TypeResp,331
M,nofb,1,Gender,331
NB,nofb,1,Sex,331
Bin,nofb,1,GenderIdentity,331
30,nofb,1,Age,331
HL,nofb,1,Ethnicity,331
M,nofb,1,Race,331
demos:Demographics:;,nofb,1,TypeResp,332
M,nofb,1,Gender,332
Cis,nofb,1,Sex,332
Bin,nofb,1,GenderIdentity,332
31,nofb,1,Age,332
NHL,nofb,1,Ethnicity,332
A,nofb,1,Race,332
demos:Demographics:;,nofb,1,TypeResp,333
W,nofb,1,Gender,333
NA,nofb,1,Sex,333
NA,nofb,1,GenderIdentity,333
30,nofb,1,Age,333
NHL,nofb,1,Ethnicity,333
W,nofb,1,Race,333
demos:Demographics:;,nofb,1,TypeResp,334
M,nofb,1,Gender,334
NB,nofb,1,Sex,334
Bin,nofb,1,GenderIdentity,334
41,nofb,1,Age,334
NHL,nofb,1,Ethnicity,334
W,nofb,1,Race,334
demos:Demographics:;,nofb,1,TypeResp,335
M,nofb,1,Gender,335
Cis,nofb,1,Sex,335
NBin,nofb,1,GenderIdentity,335
30,nofb,1,Age,335
NHL,nofb,1,Ethnicity,335
W,nofb,1,Race,335
demos:Demographics:;,nofb,1,TypeResp,336
M,nofb,1,Gender,336
Cis,nofb,1,Sex,336
Bin,nofb,1,GenderIdentity,336
31,nofb,1,Age,336
NHL,nofb,1,Ethnicity,336
W,nofb,1,Race,336
demos:Demographics:;,nofb,1,TypeResp,337
M,nofb,1,Gender,337
Cis,nofb,1,Sex,337
Bin,nofb,1,GenderIdentity,337
30,nofb,1,Age,337
NHL,nofb,1,Ethnicity,337
W,nofb,1,Race,337
demos:Demographics:;,nofb,1,TypeResp,338
W,nofb,1,Gender,338
Cis,nofb,1,Sex,338
NBin,nofb,1,GenderIdentity,338
30,nofb,1,Age,338
NHL,nofb,1,Ethnicity,338
W,nofb,1,Race,338
demos:Demographics:;,nofb,1,TypeResp,339
W,nofb,1,Gender,339
Cis,nofb,1,Sex,339
Bin,nofb,1,GenderIdentity,339
31,nofb,1,Age,339
NHL,nofb,1,Ethnicity,339
W,nofb,1,Race,339
demos:Demographics:;,nofb,1,TypeResp,340
M,nofb,1,Gender,340
Cis,nofb,1,Sex,340
NBin,nofb,1,GenderIdentity,340
67,nofb,1,Age,340
NHL,nofb,1,Ethnicity,340
W,nofb,1,Race,340
demos:Demographics:;,nofb,1,TypeResp,341
W,nofb,1,Gender,341
Cis,nofb,1,Sex,341
Bin,nofb,1,GenderIdentity,341
30,nofb,1,Age,341
NHL,nofb,1,Ethnicity,341
W,nofb,1,Race,341
demos:Demographics:;,nofb,1,TypeResp,342
M,nofb,1,Gender,342
Cis,nofb,1,Sex,342
Bin,nofb,1,GenderIdentity,342
22,nofb,1,Age,342
NHL,nofb,1,Ethnicity,342
W,nofb,1,Race,342
demos:Demographics:;,nofb,1,TypeResp,343
W,nofb,1,Gender,343
NA,nofb,1,Sex,343
NA,nofb,1,GenderIdentity,343
42,nofb,1,Age,343
NHL,nofb,1,Ethnicity,343
W,nofb,1,Race,343
demos:Demographics:;,nofb,1,TypeResp,344
W,nofb,1,Gender,344
NA,nofb,1,Sex,344
Bin,nofb,1,GenderIdentity,344
35,nofb,1,Age,344
NA,nofb,1,Ethnicity,344
W,nofb,1,Race,344
demos:Demographics:;,nofb,1,TypeResp,345
W,nofb,1,Gender,345
NB,nofb,1,Sex,345
Bin,nofb,1,GenderIdentity,345
38,nofb,1,Age,345
NHL,nofb,1,Ethnicity,345
W,nofb,1,Race,345
demos:Demographics:;,nofb,1,TypeResp,346
M,nofb,1,Gender,346
NA,nofb,1,Sex,346
NA,nofb,1,GenderIdentity,346
32,nofb,1,Age,346
NHL,nofb,1,Ethnicity,346
W,nofb,1,Race,346
demos:Demographics:;,nofb,1,TypeResp,347
W,nofb,1,Gender,347
Cis,nofb,1,Sex,347
Bin,nofb,1,GenderIdentity,347
32,nofb,1,Age,347
NHL,nofb,1,Ethnicity,347
W,nofb,1,Race,347
demos:Demographics:;,nofb,1,TypeResp,348
M,nofb,1,Gender,348
Cis,nofb,1,Sex,348
Bin,nofb,1,GenderIdentity,348
32,nofb,1,Age,348
NHL,nofb,1,Ethnicity,348
W,nofb,1,Race,348
demos:Demographics:;,nofb,1,TypeResp,349
W,nofb,1,Gender,349
Cis,nofb,1,Sex,349
NBin,nofb,1,GenderIdentity,349
29,nofb,1,Age,349
NHL,nofb,1,Ethnicity,349
W,nofb,1,Race,349
demos:Demographics:;,nofb,1,TypeResp,350
M,nofb,1,Gender,350
Cis,nofb,1,Sex,350
Bin,nofb,1,GenderIdentity,350
33,nofb,1,Age,350
HL,nofb,1,Ethnicity,350
AA,nofb,1,Race,350
demos:Demographics:;,nofb,1,TypeResp,351
W,nofb,1,Gender,351
Cis,nofb,1,Sex,351
Bin,nofb,1,GenderIdentity,351
44,nofb,1,Age,351
NHL,nofb,1,Ethnicity,351
W,nofb,1,Race,351
demos:Demographics:;,nofb,1,TypeResp,352
W,nofb,1,Gender,352
Cis,nofb,1,Sex,352
Bin,nofb,1,GenderIdentity,352
27,nofb,1,Age,352
NHL,nofb,1,Ethnicity,352
W,nofb,1,Race,352
demos:Demographics:;,nofb,1,TypeResp,353
M,nofb,1,Gender,353
Cis,nofb,1,Sex,353
NBin,nofb,1,GenderIdentity,353
32,nofb,1,Age,353
NHL,nofb,1,Ethnicity,353
AA,nofb,1,Race,353
demos:Demographics:;,nofb,1,TypeResp,354
W,nofb,1,Gender,354
Cis,nofb,1,Sex,354
Bin,nofb,1,GenderIdentity,354
34,nofb,1,Age,354
NHL,nofb,1,Ethnicity,354
W,nofb,1,Race,354
demos:Demographics:;,nofb,1,TypeResp,355
M,nofb,1,Gender,355
Cis,nofb,1,Sex,355
Bin,nofb,1,GenderIdentity,355
35,nofb,1,Age,355
NHL,nofb,1,Ethnicity,355
W,nofb,1,Race,355
demos:Demographics:;,nofb,1,TypeResp,356
W,nofb,1,Gender,356
Cis,nofb,1,Sex,356
Bin,nofb,1,GenderIdentity,356
53,nofb,1,Age,356
NHL,nofb,1,Ethnicity,356
W,nofb,1,Race,356
demos:Demographics:;,nofb,1,TypeResp,357
M,nofb,1,Gender,357
Cis,nofb,1,Sex,357
Bin,nofb,1,GenderIdentity,357
35,nofb,1,Age,357
NHL,nofb,1,Ethnicity,357
W,nofb,1,Race,357
demos:Demographics:;,nofb,1,TypeResp,358
M,nofb,1,Gender,358
Cis,nofb,1,Sex,358
NA,nofb,1,GenderIdentity,358
29,nofb,1,Age,358
NHL,nofb,1,Ethnicity,358
W,nofb,1,Race,358
demos:Demographics:;,nofb,1,TypeResp,359
W,nofb,1,Gender,359
NA,nofb,1,Sex,359
Bin,nofb,1,GenderIdentity,359
48,nofb,1,Age,359
NHL,nofb,1,Ethnicity,359
W,nofb,1,Race,359
demos:Demographics:;,nofb,1,TypeResp,360
M,nofb,1,Gender,360
Cis,nofb,1,Sex,360
Bin,nofb,1,GenderIdentity,360
44,nofb,1,Age,360
NHL,nofb,1,Ethnicity,360
W,nofb,1,Race,360
demos:Demographics:;,nofb,1,TypeResp,361
M,nofb,1,Gender,361
NB,nofb,1,Sex,361
Bin,nofb,1,GenderIdentity,361
30,nofb,1,Age,361
NHL,nofb,1,Ethnicity,361
W,nofb,1,Race,361
demos:Demographics:;,nofb,1,TypeResp,362
W,nofb,1,Gender,362
NA,nofb,1,Sex,362
Bin,nofb,1,GenderIdentity,362
55,nofb,1,Age,362
NHL,nofb,1,Ethnicity,362
AI,nofb,1,Race,362
demos:Demographics:;,nofb,1,TypeResp,363
M,nofb,1,Gender,363
Cis,nofb,1,Sex,363
Bin,nofb,1,GenderIdentity,363
23,nofb,1,Age,363
HL,nofb,1,Ethnicity,363
M,nofb,1,Race,363
demos:Demographics:;,nofb,1,TypeResp,364
W,nofb,1,Gender,364
Cis,nofb,1,Sex,364
Bin,nofb,1,GenderIdentity,364
35,nofb,1,Age,364
NHL,nofb,1,Ethnicity,364
W,nofb,1,Race,364
demos:Demographics:;,nofb,1,TypeResp,365
M,nofb,1,Gender,365
NB,nofb,1,Sex,365
NA,nofb,1,GenderIdentity,365
29,nofb,1,Age,365
NHL,nofb,1,Ethnicity,365
A,nofb,1,Race,365
demos:Demographics:;,nofb,1,TypeResp,366
W,nofb,1,Gender,366
Cis,nofb,1,Sex,366
Bin,nofb,1,GenderIdentity,366
28,nofb,1,Age,366
NHL,nofb,1,Ethnicity,366
W,nofb,1,Race,366
demos:Demographics:;,nofb,1,TypeResp,367
W,nofb,1,Gender,367
Cis,nofb,1,Sex,367
NBin,nofb,1,GenderIdentity,367
56,nofb,1,Age,367
NHL,nofb,1,Ethnicity,367
W,nofb,1,Race,367
demos:Demographics:;,nofb,1,TypeResp,368
M,nofb,1,Gender,368
NB,nofb,1,Sex,368
Bin,nofb,1,GenderIdentity,368
31,nofb,1,Age,368
NHL,nofb,1,Ethnicity,368
W,nofb,1,Race,368
demos:Demographics:;,nofb,1,TypeResp,369
M,nofb,1,Gender,369
NA,nofb,1,Sex,369
NA,nofb,1,GenderIdentity,369
30,nofb,1,Age,369
NHL,nofb,1,Ethnicity,369
W,nofb,1,Race,369
demos:Demographics:;,nofb,1,TypeResp,370
W,nofb,1,Gender,370
Cis,nofb,1,Sex,370
Bin,nofb,1,GenderIdentity,370
36,nofb,1,Age,370
HL,nofb,1,Ethnicity,370
W,nofb,1,Race,370
demos:Demographics:;,nofb,1,TypeResp,371
M,nofb,1,Gender,371
Cis,nofb,1,Sex,371
Bin,nofb,1,GenderIdentity,371
62,nofb,1,Age,371
HL,nofb,1,Ethnicity,371
W,nofb,1,Race,371
demos:Demographics:;,nofb,1,TypeResp,372
M,nofb,1,Gender,372
NB,nofb,1,Sex,372
NA,nofb,1,GenderIdentity,372
30,nofb,1,Age,372
NHL,nofb,1,Ethnicity,372
W,nofb,1,Race,372
demos:Demographics:;,nofb,1,TypeResp,373
W,nofb,1,Gender,373
NB,nofb,1,Sex,373
Bin,nofb,1,GenderIdentity,373
30,nofb,1,Age,373
HL,nofb,1,Ethnicity,373
AI,nofb,1,Race,373
demos:Demographics:;,nofb,1,TypeResp,374
M,nofb,1,Gender,374
Cis,nofb,1,Sex,374
Bin,nofb,1,GenderIdentity,374
29,nofb,1,Age,374
NHL,nofb,1,Ethnicity,374
W,nofb,1,Race,374
demos:Demographics:;,nofb,1,TypeResp,375
M,nofb,1,Gender,375
Cis,nofb,1,Sex,375
Bin,nofb,1,GenderIdentity,375
50,nofb,1,Age,375
NHL,nofb,1,Ethnicity,375
W,nofb,1,Race,375
demos:Demographics:;,nofb,1,TypeResp,376
M,nofb,1,Gender,376
Cis,nofb,1,Sex,376
Bin,nofb,1,GenderIdentity,376
42,nofb,1,Age,376
NHL,nofb,1,Ethnicity,376
W,nofb,1,Race,376
demos:Demographics:;,nofb,1,TypeResp,377
M,nofb,1,Gender,377
Cis,nofb,1,Sex,377
Bin,nofb,1,GenderIdentity,377
21,nofb,1,Age,377
NHL,nofb,1,Ethnicity,377
W,nofb,1,Race,377
demos:Demographics:;,nofb,1,TypeResp,378
M,nofb,1,Gender,378
NB,nofb,1,Sex,378
Bin,nofb,1,GenderIdentity,378
55,nofb,1,Age,378
NHL,nofb,1,Ethnicity,378
W,nofb,1,Race,378
demos:Demographics:;,nofb,2,TypeResp,379
W,nofb,2,Gender,379
Cis,nofb,2,Sex,379
Bin,nofb,2,GenderIdentity,379
18,nofb,2,Age,379
NHL,nofb,2,Ethnicity,379
M,nofb,2,Race,379
demos:Demographics:;,nofb,2,TypeResp,380
W,nofb,2,Gender,380
Cis,nofb,2,Sex,380
Bin,nofb,2,GenderIdentity,380
19,nofb,2,Age,380
NHL,nofb,2,Ethnicity,380
A,nofb,2,Race,380
demos:Demographics:;,nofb,2,TypeResp,381
M,nofb,2,Gender,381
Cis,nofb,2,Sex,381
NA,nofb,2,GenderIdentity,381
18,nofb,2,Age,381
NHL,nofb,2,Ethnicity,381
W,nofb,2,Race,381
demos:Demographics:;,nofb,2,TypeResp,382
W,nofb,2,Gender,382
Cis,nofb,2,Sex,382
Bin,nofb,2,GenderIdentity,382
19,nofb,2,Age,382
NHL,nofb,2,Ethnicity,382
AA,nofb,2,Race,382
demos:Demographics:;,nofb,2,TypeResp,383
W,nofb,2,Gender,383
Cis,nofb,2,Sex,383
Bin,nofb,2,GenderIdentity,383
18,nofb,2,Age,383
NHL,nofb,2,Ethnicity,383
A,nofb,2,Race,383
demos:Demographics:;,nofb,2,TypeResp,384
W,nofb,2,Gender,384
Cis,nofb,2,Sex,384
Bin,nofb,2,GenderIdentity,384
19,nofb,2,Age,384
NHL,nofb,2,Ethnicity,384
A,nofb,2,Race,384
demos:Demographics:;,nofb,2,TypeResp,385
W,nofb,2,Gender,385
Cis,nofb,2,Sex,385
Bin,nofb,2,GenderIdentity,385
19,nofb,2,Age,385
NHL,nofb,2,Ethnicity,385
A,nofb,2,Race,385
demos:Demographics:;,nofb,2,TypeResp,386
W,nofb,2,Gender,386
Cis,nofb,2,Sex,386
Bin,nofb,2,GenderIdentity,386
18,nofb,2,Age,386
NHL,nofb,2,Ethnicity,386
A,nofb,2,Race,386
demos:Demographics:;,nofb,2,TypeResp,387
M,nofb,2,Gender,387
Cis,nofb,2,Sex,387
Bin,nofb,2,GenderIdentity,387
19,nofb,2,Age,387
NHL,nofb,2,Ethnicity,387
A,nofb,2,Race,387
demos:Demographics:;,nofb,2,TypeResp,388
M,nofb,2,Gender,388
Cis,nofb,2,Sex,388
Bin,nofb,2,GenderIdentity,388
20,nofb,2,Age,388
NHL,nofb,2,Ethnicity,388
A,nofb,2,Race,388
demos:Demographics:;,nofb,2,TypeResp,389
W,nofb,2,Gender,389
Cis,nofb,2,Sex,389
Bin,nofb,2,GenderIdentity,389
18,nofb,2,Age,389
HL,nofb,2,Ethnicity,389
W,nofb,2,Race,389
demos:Demographics:;,nofb,2,TypeResp,390
W,nofb,2,Gender,390
Cis,nofb,2,Sex,390
Bin,nofb,2,GenderIdentity,390
18,nofb,2,Age,390
NHL,nofb,2,Ethnicity,390
